Certifications,Department,Employee ID,Employee Type,Job Role,Leaving Status,Manager Name,Skills,Training History
Certified Financial Planner (CFP),Finance,5921,Full-Time,Financial Analyst,On Leave,David Ramirez,"['Data Analysis', 'Financial Modeling', 'Excel', 'Financial Reporting', 'Budgeting']","['Data Analysis for Finance Professionals', 'Financial Modeling Techniques', 'Budgeting and Forecasting Methods']"
Certified Financial Planner (CFP),Finance,6027,Intern,Financial Analyst,Resigned,David Edwards,"['Data Analysis', 'Financial Modeling', 'Excel', 'Financial Reporting']",[]
Certified Financial Planner (CFP),Finance,6033,Full-Time,Financial Analyst,On Leave,Joshua Robinson,"['Budgeting', 'Data Analysis', 'Financial Reporting', 'Financial Modeling', 'Excel']","['Excel for Finance', 'Budgeting and Forecasting Methods']"
Certified Financial Planner (CFP),Finance,6388,Part-Time,Financial Analyst,On Leave,Rachel Clark,"['Financial Reporting', 'Data Analysis']",['Budgeting and Forecasting Methods']
Certified Financial Planner (CFP),Finance,6392,Full-Time,Financial Analyst,Active,Gregory Schmidt,"['Data Analysis', 'Excel', 'Budgeting']","['Financial Reporting Standards', 'Excel for Finance', 'Financial Modeling Techniques']"
Certified Financial Planner (CFP),Finance,6593,Part-Time,Financial Analyst,On Leave,Austin Ross,"['Excel', 'Financial Modeling']","['Budgeting and Forecasting Methods', 'Financial Modeling Techniques', 'Data Analysis for Finance Professionals']"
Certified Financial Planner (CFP),Finance,6606,Part-Time,Financial Analyst,Resigned,Jesse King,"['Budgeting', 'Data Analysis']",[]
Certified Financial Planner (CFP),Finance,6633,Full-Time,Financial Analyst,On Leave,Jennifer Morales,['Financial Modeling'],['Excel for Finance']
Certified Financial Planner (CFP),Finance,6999,Intern,Financial Analyst,Resigned,Mr. Connor Sanchez MD,"['Excel', 'Financial Reporting', 'Data Analysis']",[]
Certified Financial Planner (CFP),Finance,7663,Full-Time,Financial Analyst,Active,Bianca Ross,"['Budgeting', 'Financial Modeling', 'Data Analysis', 'Excel']","['Budgeting and Forecasting Methods', 'Data Analysis for Finance Professionals']"
Certified Financial Planner (CFP),Finance,7721,Intern,Financial Analyst,On Leave,Heidi Miranda,"['Excel', 'Data Analysis', 'Budgeting', 'Financial Reporting', 'Financial Modeling']","['Financial Modeling Techniques', 'Data Analysis for Finance Professionals', 'Excel for Finance']"
Certified Financial Planner (CFP),Finance,7755,Full-Time,Financial Analyst,On Leave,Elizabeth Gibson,"['Excel', 'Data Analysis', 'Financial Reporting', 'Financial Modeling', 'Budgeting']","['Budgeting and Forecasting Methods', 'Financial Reporting Standards']"
Certified Financial Planner (CFP),Finance,7821,Part-Time,Financial Analyst,Resigned,Logan Moore,"['Budgeting', 'Excel', 'Financial Modeling', 'Financial Reporting', 'Data Analysis']",[]
Certified Financial Planner (CFP),Finance,8127,Full-Time,Financial Analyst,On Leave,Jennifer Rodriguez,"['Budgeting', 'Excel']","['Excel for Finance', 'Financial Modeling Techniques', 'Data Analysis for Finance Professionals']"
Certified Financial Planner (CFP),Finance,8350,Full-Time,Financial Analyst,Active,Jennifer Ross,['Data Analysis'],"['Excel for Finance', 'Financial Modeling Techniques', 'Data Analysis for Finance Professionals']"
Certified Financial Planner (CFP),Finance,8487,Intern,Financial Analyst,Resigned,Adam Cooper,"['Financial Modeling', 'Budgeting', 'Financial Reporting', 'Excel', 'Data Analysis']","['Financial Modeling Techniques', 'Data Analysis for Finance Professionals']"
Certified Financial Planner (CFP),Finance,8705,Full-Time,Financial Analyst,Resigned,Mr. Joseph Howard,"['Excel', 'Financial Modeling']",['Excel for Finance']
Certified Financial Planner (CFP),Finance,8746,Intern,Financial Analyst,Resigned,Chad Wang,"['Financial Modeling', 'Financial Reporting', 'Budgeting']",['Budgeting and Forecasting Methods']
Certified Financial Planner (CFP),Finance,8766,Intern,Financial Analyst,Active,Harold Adams,"['Data Analysis', 'Financial Reporting']","['Excel for Finance', 'Financial Modeling Techniques', 'Financial Reporting Standards']"
Certified Financial Planner (CFP),Finance,8802,Full-Time,Financial Analyst,On Leave,Jacob Jenkins,"['Financial Modeling', 'Data Analysis', 'Excel']",[]
Certified Financial Planner (CFP),Finance,8862,Part-Time,Financial Analyst,On Leave,Christopher Wood,"['Financial Reporting', 'Financial Modeling']","['Financial Reporting Standards', 'Excel for Finance', 'Data Analysis for Finance Professionals']"
Certified Financial Planner (CFP),Finance,9338,Full-Time,Financial Analyst,Active,Shelly Ochoa,"['Financial Reporting', 'Excel']",[]
Certified Financial Planner (CFP),Finance,9449,Full-Time,Financial Analyst,On Leave,Emily Burke,"['Financial Modeling', 'Excel', 'Financial Reporting', 'Data Analysis']","['Data Analysis for Finance Professionals', 'Budgeting and Forecasting Methods']"
Certified Financial Planner (CFP),Finance,9484,Intern,Financial Analyst,Active,Robert Torres,"['Data Analysis', 'Financial Reporting']",['Financial Modeling Techniques']
Certified Financial Planner (CFP),Finance,9849,Full-Time,Financial Analyst,Active,Jason Elliott,"['Excel', 'Data Analysis', 'Financial Reporting', 'Budgeting']","['Financial Modeling Techniques', 'Budgeting and Forecasting Methods']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,37,Intern,Financial Analyst,On Leave,Kristen Stone,['Financial Modeling'],"['Financial Modeling Techniques', 'Excel for Finance']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,76,Full-Time,Financial Analyst,Active,Elizabeth Clark,"['Excel', 'Financial Modeling', 'Financial Reporting', 'Data Analysis']",[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,668,Intern,Financial Analyst,Resigned,Megan Woodward,"['Budgeting', 'Financial Modeling', 'Excel']",[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,871,Full-Time,Financial Analyst,On Leave,Nancy Walker,"['Financial Reporting', 'Excel', 'Data Analysis', 'Financial Modeling']",['Financial Modeling Techniques']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,1082,Part-Time,Financial Analyst,Resigned,Elizabeth Scott,"['Data Analysis', 'Budgeting', 'Excel', 'Financial Modeling', 'Financial Reporting']",[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,1242,Intern,Financial Analyst,Active,Warren Mcbride,"['Budgeting', 'Financial Reporting', 'Financial Modeling']",['Financial Reporting Standards']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,1597,Full-Time,Financial Analyst,Active,Karina Lynch,['Financial Reporting'],[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,1791,Full-Time,Financial Analyst,Resigned,Jason Hughes,['Financial Modeling'],[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,2464,Full-Time,Financial Analyst,On Leave,Eric Cuevas,"['Budgeting', 'Financial Modeling', 'Excel']","['Budgeting and Forecasting Methods', 'Financial Modeling Techniques']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,5781,Intern,Financial Analyst,Active,Jacqueline Cruz,"['Data Analysis', 'Financial Reporting', 'Financial Modeling']","['Data Analysis for Finance Professionals', 'Excel for Finance']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,6154,Intern,Financial Analyst,On Leave,Renee Manning,"['Budgeting', 'Excel', 'Financial Reporting']","['Data Analysis for Finance Professionals', 'Financial Reporting Standards', 'Budgeting and Forecasting Methods']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,6233,Full-Time,Financial Analyst,Active,Jose Glass,"['Financial Reporting', 'Financial Modeling', 'Excel', 'Data Analysis']",[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,6240,Full-Time,Financial Analyst,Active,Jessica Todd,['Financial Modeling'],"['Financial Reporting Standards', 'Budgeting and Forecasting Methods', 'Financial Modeling Techniques']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,6500,Intern,Financial Analyst,On Leave,Michael Walter,"['Financial Reporting', 'Budgeting']","['Financial Modeling Techniques', 'Excel for Finance']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,7161,Intern,Financial Analyst,Resigned,John Marks,"['Budgeting', 'Financial Modeling', 'Data Analysis', 'Excel']",[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,7591,Full-Time,Financial Analyst,Active,Brian Hall,"['Data Analysis', 'Financial Modeling', 'Financial Reporting', 'Budgeting']","['Financial Reporting Standards', 'Budgeting and Forecasting Methods', 'Financial Modeling Techniques']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA)",Finance,7954,Full-Time,Financial Analyst,Resigned,Daniel Adams,"['Financial Modeling', 'Budgeting', 'Financial Reporting']",['Budgeting and Forecasting Methods']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA)",Finance,696,Full-Time,Financial Analyst,On Leave,Tara Martinez,"['Financial Modeling', 'Excel', 'Financial Reporting', 'Data Analysis', 'Budgeting']",['Financial Modeling Techniques']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA)",Finance,831,Intern,Financial Analyst,On Leave,Donald Sanders,"['Excel', 'Financial Reporting']","['Budgeting and Forecasting Methods', 'Financial Modeling Techniques']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA)",Finance,3041,Full-Time,Financial Analyst,Resigned,Joshua Christian,['Financial Reporting'],"['Data Analysis for Finance Professionals', 'Budgeting and Forecasting Methods']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA)",Finance,3863,Full-Time,Financial Analyst,Resigned,Ruth Mcgee,"['Excel', 'Data Analysis']",[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA)",Finance,4376,Full-Time,Financial Analyst,On Leave,Ashley Hayden,['Excel'],[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA)",Finance,8803,Full-Time,Financial Analyst,On Leave,Michael Ortega,"['Financial Modeling', 'Data Analysis', 'Financial Reporting']",['Excel for Finance']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",Finance,10,Intern,Financial Analyst,On Leave,Daniel Oliver,"['Financial Modeling', 'Data Analysis']","['Financial Reporting Standards', 'Data Analysis for Finance Professionals', 'Excel for Finance']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",Finance,672,Intern,Financial Analyst,Resigned,Mr. Anthony Cook DDS,"['Budgeting', 'Financial Modeling']","['Financial Reporting Standards', 'Budgeting and Forecasting Methods', 'Data Analysis for Finance Professionals']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",Finance,3190,Intern,Financial Analyst,Active,Jeff Church,"['Financial Modeling', 'Excel', 'Budgeting', 'Data Analysis']",['Data Analysis for Finance Professionals']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",Finance,3836,Full-Time,Financial Analyst,On Leave,Nicholas Tate,"['Financial Modeling', 'Excel', 'Data Analysis']","['Budgeting and Forecasting Methods', 'Data Analysis for Finance Professionals', 'Financial Modeling Techniques']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",Finance,5632,Full-Time,Financial Analyst,Resigned,Tyler Hall,"['Excel', 'Financial Reporting', 'Financial Modeling', 'Budgeting']","['Excel for Finance', 'Financial Reporting Standards', 'Financial Modeling Techniques']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",Finance,6232,Full-Time,Financial Analyst,On Leave,Travis Hanson,"['Data Analysis', 'Financial Modeling', 'Financial Reporting', 'Excel', 'Budgeting']","['Budgeting and Forecasting Methods', 'Data Analysis for Finance Professionals', 'Financial Reporting Standards']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",Finance,7600,Full-Time,Financial Analyst,Active,Ryan Cooper,"['Financial Reporting', 'Data Analysis']",[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",Finance,7650,Full-Time,Financial Analyst,On Leave,Robert Evans,"['Excel', 'Data Analysis', 'Budgeting']",[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",Finance,8658,Full-Time,Financial Analyst,Resigned,Matthew Mack,"['Financial Modeling', 'Budgeting', 'Financial Reporting', 'Excel']","['Financial Modeling Techniques', 'Data Analysis for Finance Professionals', 'Budgeting and Forecasting Methods']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",Finance,9579,Full-Time,Financial Analyst,Active,Yvette Meyer,"['Data Analysis', 'Financial Reporting', 'Financial Modeling', 'Excel']","['Budgeting and Forecasting Methods', 'Financial Reporting Standards']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",Finance,9752,Intern,Financial Analyst,On Leave,Michael Page,"['Data Analysis', 'Financial Modeling', 'Excel']",[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",Finance,9887,Full-Time,Financial Analyst,Active,Adam Pollard,"['Excel', 'Financial Reporting', 'Data Analysis']",['Financial Reporting Standards']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM)",Finance,607,Part-Time,Financial Analyst,On Leave,Sarah Lutz,"['Financial Reporting', 'Financial Modeling', 'Excel', 'Budgeting', 'Data Analysis']",['Excel for Finance']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM)",Finance,1903,Part-Time,Financial Analyst,Resigned,Corey Johnson,['Data Analysis'],[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM)",Finance,2616,Full-Time,Financial Analyst,Resigned,Mary Chandler,['Budgeting'],"['Financial Reporting Standards', 'Financial Modeling Techniques', 'Budgeting and Forecasting Methods']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM)",Finance,2806,Part-Time,Financial Analyst,Active,Monica Ward,"['Financial Modeling', 'Excel', 'Budgeting']","['Financial Reporting Standards', 'Financial Modeling Techniques', 'Budgeting and Forecasting Methods']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM)",Finance,4394,Full-Time,Financial Analyst,On Leave,Gregory Peterson,"['Budgeting', 'Data Analysis']",['Financial Modeling Techniques']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM)",Finance,6119,Intern,Financial Analyst,On Leave,Richard Nelson,"['Financial Modeling', 'Budgeting', 'Financial Reporting', 'Excel', 'Data Analysis']",['Financial Reporting Standards']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM)",Finance,6129,Full-Time,Financial Analyst,On Leave,Melissa Rivera,['Financial Reporting'],['Budgeting and Forecasting Methods']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM)",Finance,6327,Full-Time,Financial Analyst,On Leave,Cassandra Moore,"['Financial Modeling', 'Budgeting', 'Excel']","['Budgeting and Forecasting Methods', 'Financial Modeling Techniques', 'Data Analysis for Finance Professionals']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM)",Finance,7181,Full-Time,Financial Analyst,Resigned,Douglas Valenzuela,['Data Analysis'],"['Excel for Finance', 'Data Analysis for Finance Professionals', 'Financial Modeling Techniques']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM)",Finance,7642,Full-Time,Financial Analyst,Active,Gregory Lopez,"['Financial Modeling', 'Financial Reporting', 'Excel', 'Budgeting', 'Data Analysis']",['Financial Reporting Standards']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM)",Finance,9121,Intern,Financial Analyst,Active,William Gutierrez,"['Data Analysis', 'Budgeting', 'Financial Reporting', 'Excel', 'Financial Modeling']","['Budgeting and Forecasting Methods', 'Excel for Finance']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM)",Finance,9734,Intern,Financial Analyst,On Leave,Mr. Johnny Colon,"['Excel', 'Financial Reporting', 'Data Analysis', 'Budgeting', 'Financial Modeling']","['Excel for Finance', 'Financial Reporting Standards', 'Data Analysis for Finance Professionals']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM)",Finance,9784,Intern,Financial Analyst,On Leave,Lori Mckee,"['Budgeting', 'Financial Modeling', 'Data Analysis', 'Financial Reporting']",['Data Analysis for Finance Professionals']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM), Chartered Financial Analyst (CFA)",Finance,198,Intern,Financial Analyst,Resigned,Miranda Nichols,['Financial Reporting'],"['Financial Modeling Techniques', 'Financial Reporting Standards']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM), Chartered Financial Analyst (CFA)",Finance,340,Intern,Financial Analyst,On Leave,Elizabeth Boyer,['Financial Reporting'],"['Budgeting and Forecasting Methods', 'Financial Modeling Techniques']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM), Chartered Financial Analyst (CFA)",Finance,2383,Intern,Financial Analyst,Resigned,Mariah Rogers,"['Financial Reporting', 'Excel', 'Financial Modeling', 'Budgeting', 'Data Analysis']","['Financial Modeling Techniques', 'Excel for Finance', 'Data Analysis for Finance Professionals']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM), Chartered Financial Analyst (CFA)",Finance,2812,Full-Time,Financial Analyst,Resigned,Devin Thompson,"['Financial Modeling', 'Budgeting', 'Excel', 'Financial Reporting', 'Data Analysis']",['Data Analysis for Finance Professionals']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM), Chartered Financial Analyst (CFA)",Finance,3068,Full-Time,Financial Analyst,On Leave,Morgan Wilson,"['Excel', 'Budgeting', 'Financial Reporting']",[]
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM), Chartered Financial Analyst (CFA)",Finance,3295,Intern,Financial Analyst,Active,Susan Jenkins DVM,['Budgeting'],['Excel for Finance']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM), Chartered Financial Analyst (CFA)",Finance,5125,Full-Time,Financial Analyst,On Leave,Ashley Bryant,"['Financial Modeling', 'Excel', 'Budgeting', 'Financial Reporting', 'Data Analysis']",['Financial Reporting Standards']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM), Chartered Financial Analyst (CFA)",Finance,5414,Intern,Financial Analyst,Active,Benjamin Banks,"['Financial Modeling', 'Financial Reporting']","['Budgeting and Forecasting Methods', 'Financial Modeling Techniques']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM), Chartered Financial Analyst (CFA)",Finance,6854,Full-Time,Financial Analyst,Resigned,Jessica Murray,"['Data Analysis', 'Financial Modeling']",['Budgeting and Forecasting Methods']
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM), Chartered Financial Analyst (CFA)",Finance,7618,Intern,Financial Analyst,Active,Brett Foley,"['Budgeting', 'Financial Reporting', 'Data Analysis']","['Budgeting and Forecasting Methods', 'Data Analysis for Finance Professionals', 'Financial Modeling Techniques']"
"Certified Financial Planner (CFP), Certified Public Accountant (CPA), Financial Risk Manager (FRM), Chartered Financial Analyst (CFA)",Finance,9840,Intern,Financial Analyst,Resigned,Melissa Cole,['Excel'],['Budgeting and Forecasting Methods']
"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",Finance,872,Full-Time,Financial Analyst,On Leave,John Lopez,"['Excel', 'Financial Reporting', 'Financial Modeling', 'Data Analysis', 'Budgeting']","['Excel for Finance', 'Budgeting and Forecasting Methods', 'Financial Modeling Techniques']"
"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",Finance,1143,Full-Time,Financial Analyst,On Leave,Tamara Davis,"['Financial Modeling', 'Excel', 'Data Analysis', 'Financial Reporting']",['Financial Reporting Standards']
"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",Finance,1719,Intern,Financial Analyst,Resigned,Diane Smith,['Financial Modeling'],['Financial Modeling Techniques']
"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",Finance,1861,Full-Time,Financial Analyst,On Leave,Steven Peterson,['Financial Modeling'],"['Financial Reporting Standards', 'Data Analysis for Finance Professionals']"
"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",Finance,1865,Full-Time,Financial Analyst,Active,Mr. Timothy Williams,"['Financial Modeling', 'Budgeting', 'Financial Reporting', 'Data Analysis', 'Excel']","['Excel for Finance', 'Financial Reporting Standards']"
"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",Finance,2254,Full-Time,Financial Analyst,On Leave,Robert Martinez,"['Financial Reporting', 'Data Analysis', 'Financial Modeling']","['Data Analysis for Finance Professionals', 'Budgeting and Forecasting Methods', 'Excel for Finance']"
"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",Finance,2267,Full-Time,Financial Analyst,On Leave,Gabriela Carroll,"['Excel', 'Financial Modeling', 'Data Analysis', 'Financial Reporting']",['Budgeting and Forecasting Methods']
"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",Finance,2575,Full-Time,Financial Analyst,Active,Kenneth Day,"['Financial Modeling', 'Budgeting']","['Financial Reporting Standards', 'Budgeting and Forecasting Methods']"
"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",Finance,3223,Full-Time,Financial Analyst,Resigned,James Williamson,['Data Analysis'],"['Excel for Finance', 'Budgeting and Forecasting Methods', 'Financial Reporting Standards']"
